,settingdict,formula,Sharpe,Turnover,Fitness,Returns,Drawdown,Margin
0,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '80', 'Delay': '1', 'Truncation': '0.02', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(mdf_pva),1.25,0.0208,1.2,0.1146,0.0831,0.010999
1,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '65', 'Delay': '1', 'Truncation': '0.03', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_ite_q),1.25,0.0187,1.28,0.1317,0.1493,0.0141199999999999
2,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_newa1v1300_epspi),1.25,0.012,1.11,0.0978,0.5046,0.016284
3,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_xad),1.25,0.016,1.17,0.1103,0.5667,0.013772
4,"{'Region': 'USA', 'Universe': 'TOP3000', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Industry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_newa1v1300_ibc),1.25,0.0109,1.1,0.096,0.4774,0.017688
5,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_newa1v1300_dv),1.25,0.0209,1.03,0.0852999999999999,0.4627,0.008179
6,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '70', 'Delay': '1', 'Truncation': '0.02', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_rnd),1.25,0.0200999999999999,1.29,0.1322,0.1251,0.013132
7,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_txtubend),1.25,0.0209,1.18,0.1119,0.5637,0.010734
8,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_avi),1.25,0.0163999999999999,1.59,0.2023,1.1399,0.024705
9,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '80', 'Delay': '1', 'Truncation': '0.02', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_rnd),1.25,0.0200999999999999,1.29,0.1322,0.1251,0.013132
